"Year","est","se","est_corr","se_corr","lwr","upr","model","type","species"
2013,3.74503604566056,0.83846096351468,3.74503604566056,NA,2.10165255717179,5.38841953414933,"tV_mod_ln","single","Istiophorus albicans"
2014,1.40222061466239,0.533574781088657,1.40222061466239,NA,0.356414043728625,2.44802718559616,"tV_mod_ln","single","Istiophorus albicans"
2015,1.59138188847953,0.277367375359055,1.59138188847953,NA,1.04774183277579,2.13502194418328,"tV_mod_ln","single","Istiophorus albicans"
2016,1.01500804479665,0.192751810730877,1.01500804479665,NA,0.637214495764129,1.39280159382917,"tV_mod_ln","single","Istiophorus albicans"
2017,1.46906739025489,0.243532662557139,1.46906739025489,NA,0.991743371642903,1.94639140886689,"tV_mod_ln","single","Istiophorus albicans"
2018,1.49233252256943,0.238495577479984,1.49233252256943,NA,1.02488119070866,1.9597838544302,"tV_mod_ln","single","Istiophorus albicans"
2019,1.21701895225454,0.242479679521519,1.21701895225454,NA,0.741758780392361,1.69227912411671,"tV_mod_ln","single","Istiophorus albicans"
2020,1.19747202148583,0.284944810005981,1.19747202148583,NA,0.638980193874109,1.75596384909755,"tV_mod_ln","single","Istiophorus albicans"
2021,0.807680473473432,0.187440065427757,0.807680473473432,NA,0.440297945235028,1.17506300171184,"tV_mod_ln","single","Istiophorus albicans"
2022,0.754616624376972,0.151299693520253,0.754616624376972,NA,0.458069225077277,1.05116402367667,"tV_mod_ln","single","Istiophorus albicans"
2023,1.03512075351993,0.217306818728515,1.03512075351993,NA,0.609199388812041,1.46104211822782,"tV_mod_ln","single","Istiophorus albicans"
